,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_ACTIVO,GlobalID,geometry
41,42,209,Biblioteca Camões,"Largo do Calhariz, 17 - 1º Esq",Misericórdia,+351 218 172 360,bib.camoes@cm-lisboa.pt,CML - Rede BLx,"A existência de uma construção palaciana neste local remonta ao séc. XVI. O edifício actual, classificado como Imóvel de Interesse Público desde 1982, foi totalmente reedificado pós-terramoto, tendo sofrido obras importantes durante os sécs. XIX e XX, que lhe modificaram o seu carácter original, conservando, no entanto, a imponência setecentista da sua fachada. De espaço residencial converteu-se em espaço comercial, de serviços e cultural, acolhendo inclusivamente a Biblioteca Municipal Camões. No seu interior são de destacar: o silhar de azulejos azuis e brancos, setecentistas, figurando cenas galantes, localizado no átrio de entrada; a decoração com estuques levemente relevados da escadaria de mármore; e os dois registos azulejares, figurando S. Francisco e S. Marçal, do pátio interior. A Biblioteca Camões tem uma missão educativa e cultural importante, através de uma acção dinamizadora do trinómio Biblioteca-Escola-Meio, no sentido de se obter uma participação real e efectiva dos seus utilizadores, em actividades de extensão cultural e de animação, visando incentivar o gosto pelo livro e pela leitura. 
Queremos uma biblioteca aberta de par em par, para a todos servir em comunidade. Especialização em Literatura Policial nacional e estrangeira.",CML - Rede BLx,1,4ebdc8c9-3abe-4793-b6c7-69b73e3c8bd8,POINT (-9.14591858919604 38.7106058385814)
42,43,210,Biblioteca da Comissão Nacional de Eleições,Avenida Dom Carlos I 128 7º,Misericórdia,21 392 38 00,cne@cne.pt,www.cne.pt,"Órgão superior da administração eleitoral com competência para disciplinar e fiscalizar todos os actos de recenseamento e operações eleitorais para órgãos electivos de soberania, das regiões autónomas e do poder local e para o Parlamento Europeu, bem como no âmbito do instituto do referendo. A comissão é um órgão independente, funciona junto da assembleia da república e rege-se pela lei 71/78, 27 Dezembro
",www.cne.pt,1,2e3d30de-de8b-43ed-af17-22fe4979eac5,POINT (-9.15332169224633 38.7106125264513)
43,44,211,Biblioteca da Casa do Fado e da Guitarra Portuguesa,Largo do Chafariz de Dentro 1 R/C,Santa Maria Maior,21 882 34 70,museudofado@egeac.pt,www.museudofado.pt,,www.museudofado.pt,1,0498aaec-6eed-482c-8f65-9ffef0c85dce,POINT (-9.1276247649222 38.7111514620958)
44,45,212,Biblioteca e Centro de Documentação  Luíza Neto Jorge - Chapitô,"Costa do Castelo, 1",Santa Maria Maior,218 855 550,"mail@chapito.org
",http://chapito.org,A biblioteca e Centro de Documentação Luíza Neto Jorge possui um arquivo e bibliografia rara sobre o mundo do espectáculo em geral e do circo em particular. ,http://chapito.org,1,e87733ef-e75a-405c-ab7c-5193a491b0dc,POINT (-9.13384832761041 38.7115800246054)
45,46,213,Centro de Estudos sobre África e do Desenvolvimento,Rua Miguel Lupi 20 R/C,Estrela,21 392 59 83,cesa@iseg.utl.pt,http://pascal.iseg.utl.pt/~cesa/,,http://pascal.iseg.utl.pt/~cesa/,1,8f6e7a50-2165-44f4-a784-f24a19dfed75,POINT (-9.15544969522052 38.7114338432741)
46,47,214,Centro de Documentação Instituto Superior Psicologia Aplicada,Rua do Jardim do Tabaco 34 R/C,Santa Maria Maior,21 881 17 50,biblioteca@ispa.pt,www.ispa.pt,"Centro especializado nas áreas de Criminologia, Reabilitação, Psicologia Ambiental, Psicologia  Educacional, Comportamento Organizacional, Neurociências, Etologia, Psicossomática, Psicanálise, Psicologia Cognitiva, Psicologia Clínica, Literatura, Arte, Psicologia Comunitária . Serviços de leitura presencial e domiciliária.
",www.ispa.pt,1,8b161a48-0ef9-4b65-8112-19d4bf94b36c,POINT (-9.12593131137537 38.712167817803)
47,48,215,Centro de Documentação do Ministério do Ambiente e Ordenamento do Território,Rua de O Século 51 R/C,Misericórdia,21 323 15 00,relacoes.publicas@sg.maot.gov.pt,www.maot.gov.pt,,www.maot.gov.pt,1,1060601e-4b30-407c-a722-a3d24400f8f2,POINT (-9.14763195200258 38.7123120129225)
48,49,216,Biblioteca Passos Manuel,Palácio de São Bento,Estrela,+351 213919538 ,bib.correio@ar.parlamento.pt,http://www.parlamento.pt/Parlamento/Paginas/BibliotecaPassosManuel.aspx,"A Biblioteca da Assembleia da República passou a designar-se Biblioteca Passos Manuel em outubro de 2017. É uma biblioteca especializada, tendo como objetivo principal dar apoio bibliográfico aos trabalhos parlamentares, através da aquisição, gestão e difusão de informação científica e técnica nacional e internacional, bem como de informação produzida pelos órgãos de comunicação social. ",http://www.parlamento.pt/Parlamento/Paginas/BibliotecaPassosManuel.aspx,1,8851b324-2196-4d45-b53e-6853c1bbef1e,POINT (-9.15362919466312 38.7124509228247)
49,50,217,Biblioteca Passos Manuel,Palácio de São Bento,Estrela,+351 213919538 ,bib.correio@ar.parlamento.pt,http://www.parlamento.pt/Parlamento/Paginas/BibliotecaPassosManuel.aspx,"A Biblioteca da Assembleia da República passou a designar-se Biblioteca Passos Manuel em outubro de 2017. É uma biblioteca especializada, tendo como objetivo principal dar apoio bibliográfico aos trabalhos parlamentares, através da aquisição, gestão e difusão de informação científica e técnica nacional e internacional, bem como de informação produzida pelos órgãos de comunicação social. ",http://www.parlamento.pt/Parlamento/Paginas/BibliotecaPassosManuel.aspx,1,05328e83-a726-49b8-ac52-4b821941cec6,POINT (-9.15362945193781 38.7124689354439)
50,51,218,Casa da Liberdade Mário Cesariny,"Rua das Escolas Gerais, 13 
1100-218 Lisboa",Santa Maria Maior,+351 218 822 607,casadaliberdade@pervegaleria.eu,www.pervegaleria.eu/home/index.php/contacto.html,,-,1,04d2b982-4bf7-44c7-9851-870cc8181ead,POINT (-9.12793239648825 38.7127061278609)
51,52,219,Arquivo Histórico Militar,Largo dos Caminhos de Ferro S/N R/C,Santa Maria Maior,21 884 25 63,ahm@mail.exercito.pt,www.exercito.pt,"O Arquivo Histórico Militar, depositário do principal património documental do Exército, presta toda a informação disponível sobre os seus próprios fundos e colecções, relativos às campanhas militares em Portugal, na Europa e nos territórios coloniais e ultramarinos, bem como sobre outros assuntos militares, em especial dos séculos XVIII a XX.
",www.exercito.pt,1,6b54495f-393b-40c5-95b9-780112366754,POINT (-9.12505896991698 38.7129034082556)
52,53,220,Arquivo Fundação Mário Soares,Rua de São Bento 176 R/C,Misericórdia,21 396 41 79/21 396 41 85 ,arquivo@fmsoares.pt,www.fmsoares.pt,"""O Arquivo & Biblioteca da Fundação Mário Soares foi instituído com base na documentação que constituía o arquivo pessoal do Dr. Mário Soares e por este entregue em regime de depósito na Fundação Mário Soares, nos termos e condições constantes de protocolo assinado em 26 de Fevereiro de 1996.O Arquivo & Biblioteca é um projecto que a Fundação Mário Soares desenvolveu desde o seu início de actividade em 1996, recorrendo para o efeitos às mais recentes tecnologias da informação.
Inicialmente constituído a partir do arquivo pessoal do Dr. Mário Soares, foi enriquecido com nuemrosos outros acervos documentais e, mais tarde, o projecto inicial foi também alargado à constituição e informatização de uma biblioteca especializada e à organização de um arquivo fotográfico.""
",www.fmsoares.pt,1,8dec376d-b593-452c-aeb6-4c174a8e5ca8,POINT (-9.15286950012861 38.7127072256908)
53,55,222,Centro HELEN KELLER,"Avenida Dr. Mário Moutinho, 20 ",Belém,+351 213 011 932,secretaria@centrohelenkeller.pt,,,-,1,35b79256-0e8d-484d-970a-ed0699a2e055,POINT (-9.21173036290192 38.7123980396382)
54,56,223,Biblioteca /Centro de Documentação da Faculdade de Arquitectura de Lisboa,Avenida da Universidade Técnica Fac Arquitectura (Edif 2) R/C ,Ajuda,+351 213 615 000,bfa@fa.utl.pt ,www.fa.utl.pt,"A Biblioteca/Centro de Documentação constitui uma unidade de apoio da Faculdade de Arquitectura e caracteriza-se por ser uma Biblioteca Central. É uma biblioteca especializada nas áreas de Arquitectura, Arquitectura de Planeamento Urbano e Territorial, Arquitectura de Gestão Urbanística, Arquitectura de Interiores, Arquitectura de Design e Arquitectura de Design da Moda. A Biblioteca/Centro de Documentação tem por missão facultar à Faculdade de Arquitectura os recursos bibliográficos necessários ao desempenho das funções de investigação, educação permanente e extensão cultural. No âmbito das suas atribuições, desenvolve um conjunto de acções que promovem e facilitam o acesso dos utilizadores às mais diversas fontes de informação. A sua intervenção na Faculdade de Arquitectura manifesta-se nas seguintes vertentes:Tratamento técnico dos recursos bibliográficos adquiridos e sua inserção na base de dados bibliográfica disponível;Organização dos fundos documentais;Empréstimo de documentação;Pesquisas bibliográficas específicas limitadas.
",www.fa.utl.pt/,1,c982481f-7a64-4056-a138-f30a4edeae6b,POINT (-9.19439626438461 38.7126850958506)
55,57,224,Biblioteca da Academia das Ciências,Rua da Academia das Ciências 19 -1,Misericórdia,21 321 97 30,biblioteca.acl@acad-ciencias.pt,www.acad-ciencias.pt,"Biblioteca,localizada no antigo Convento de Jesus,ocupa o Salão Nobre da Academia das Ciências,que se destaca pelas pinturas do tecto,atribuídas a Pedro Alexandrino de Carvalho,pelo revestimento das paredes com estantes de talha dourada e pela galeria em redor de balaustrada contínua.Considerada uma das mais importantes bibliotecas do país,especialmente para a investigação nas áreas da Língua e Cultura Portuguesa,está aberta a membros da Academia,a outros académicos e cientistas e ao público em geral.Para além de obras modernas,integra a antiga biblioteca do referido convento,reunindo um espólio com cerca de 3000 manuscritos portugueses,árabes,espanhóis e hebraicos,e uma inestimável colecção de livros dos séculos XIV,XV,XVI e XVII.Acolhe,também,uma das mais completas colecções de periódicos de todo o mundo relacionadas com Ciências e Humanidades.Funciona,ainda,como Depósito Legal,onde um exemplar de todo o artigo,livro ou texto publicado em Portugal é arquivado. 
",www.acad-ciencias.pt,1,ea6864a2-3127-415d-8da9-6ad2cf3436c7,POINT (-9.14993498496998 38.7131551189596)
56,58,225,Academia das Ciências de Lisboa,"Rua da Academia das Ciências, 19 ",Misericórdia,+351 213 219 730,geral@acad-ciencias.pt,www.acad-ciencias.pt/,"A Academia das Ciências de Lisboa é uma das mais antigas instituições científicas nacionais de existência contínua, tendo sido fundada no dia 24 de Dezembro de 1779 durante o reinado de D. Maria I, sobre o lema: NISI UTILE EST QUOD FACIMUS STULTA EST GLORIA. 

A sua missão é assegurar ao Governo português consultoria em matéria linguística. Coordenar a sua ação com a Academia Brasileira de Letras e com a rede das academias europeias e mundiais, incluindo os países de língua oficial portuguesa e os núcleos portugueses no estrangeiro. Contribuir para a sociedade de Informação, do saber e da sabedoria com vista à valorização da participação portuguesa no globalismo.
(Dec-Lei Nº 7/78, de 12 de Janeiro). 
",-,1,13680e70-64eb-4721-9ae7-c974b6c22ac0,POINT (-9.14980424712137 38.713162886634)
57,59,226,Biblioteca do Instituto Superior Ciências Sociais e Políticas,Rua Almerindo Lessa ISCSP ,Ajuda,21 361 94 30,biblioteca@iscsp.utl.pt,www.iscsp.utl.pt,"A biblioteca foi criada em 1935, graças à doação de 4000 volumes pela Sociedade de Geografia de Lisboa. Actualmente possui um acervo de cerca de 55000 títulos.
",www.iscsp.utl.pt/,1,746738f3-3276-46fb-a477-00775c97a66c,POINT (-9.197983734979 38.7132622199994)
58,60,227,Biblioteca e Arquivo Histórico da Santa Casa da Misericórdia,Largo Trindade Coelho ,Misericórdia,+351 213 235 741,arquivo.historico@scml.pt,www.scml.pt,"A Biblioteca Antiga da Santa Casa da Misericórdia de Lisboa (SCML) possui um acervo de 5000 impressos tipográficos, portugueses e estrangeiros. As publicações mais antigas, que datam dos séculos XV ao XVIII, provêm maioritariamente da Livraria da Misericórdia de Lisboa e também do Convento de São Pedro de Alcântara e da Casa dos Marqueses de Alegrete. 

Quanto ao acervo arquivístico, a documentação histórica da SCML, acondicionada em cerca de 3,5 km de prateleiras, é constituída sobretudo por documentos em suporte de papel, mas também em pergaminho, fotografias e registos sonoros.

O Arquivo Histórico (AH) coordena e garante o funcionamento e a guarda dos arquivos definitivo e intermédio da Santa Casa da Misericórdia de Lisboa (SCML), que são constituídos, essencialmente, por documentos produzidos e recebidos pela Instituição, assim como pela biblioteca de livro antigo. Compete-lhe reunir, organizar, descrever, conservar, divulgar e disponibilizar o acervo documental da SCML e da sua Biblioteca Histórica.

Através da produção de guias, inventários, catálogos e da elaboração de trabalhos técnico-científicos, o AH promove e divulga o seu acervo documental. Neste mesmo sentido, realiza exposições e apoia a investigação e publicação de estudos ligados a temas e ações desenvolvidas pela Santa Casa. É ainda responsável pela promoção das boas práticas arquivísticas na Instituição, prestando apoio técnico aos arquivos correntes.

O AH recebe massas documentais acumuladas pelos diversos serviços da SCML e leva a cabo a respetiva avaliação e seleção, nos termos definidos pela Portaria 509/2004 (de 14 de Maio), que aprova o Regulamento Arquivístico da Instituição. Este Serviço coordena ainda o processo de eliminação da documentação sem valor secundário ou histórico, com base nos pressupostos patentes neste diploma legal.

Com o grande terramoto de 1755 e o violento incêndio que se seguiu, a Misericórdia de Lisboa viu destruído grande parte do seu património e documentação. Por esta razão, conservam-se no AH, sobretudo, documentos datados de meados do século XVIII até aos nossos dias.
",www.scml.pt,1,31c47b22-2b29-4e3f-bab9-f7d3025ccfd9,POINT (-9.14366649924886 38.7145543372201)
59,61,228,Biblioteca e Centro de Documentação - Faculdade de Medicina Veterinária,Avenida da Universidade Técnica Fac Veterinária (Edif A) 1º,Ajuda,21 360 09 90,biblioteca@fmv.utl.pt,http://intranet.fmv.utl.pt,,http://intranet.fmv.utl.pt,1,03ff17f6-8eef-45ad-9e24-229787b4d426,POINT (-9.19548086198172 38.7140973686556)
60,62,229,Centro de Documentação Teatro Nacional D. Maria II,Largo do Regedor Teatro R/C,Santa Maria Maior,21 325 08 26,biblioteca@teatro-dmaria.pt,www.teatro-dmaria.pt,"Especializado na área do teatro e artes performativas. Aberto ao público para consulta local.
",www.teatro-dmaria.pt,1,e84a1518-f518-4ef5-8b75-2b8a28ef7a86,POINT (-9.1398059971225 38.7148731804296)
61,63,230,Biblioteca Voz do Operário,Rua da Voz do Operário 13,São Vicente,21 886 21 55,,www.vozoperario.pt,"Para além de um importante espólio do Movimento Operário, conta com títulos cujos temas principais são a Maçonaria, Anarquismo e História e Literatura Portuguesa a partir do século XVIII.
",www.vozoperario.pt,1,663429a8-e4d8-4e6a-8384-6d7e79646cc1,POINT (-9.12919762250965 38.7156812600226)
62,64,231,Gabinete Informação Documental Arquivo da Inspecção Geral Actidades Culturais,Praça dos Restauradores 25 R/C,Santa Maria Maior,21 321 25 00,igacgeral@igac.pt,www.igac.pt,,www.igac.pt,1,41bf2dfc-6a98-4e19-ad07-43a85a86d4eb,POINT (-9.1425768841782 38.7160119777938)
63,65,232,Biblioteca da Sociedade de Geografia de Lisboa e Museu Etnográfico,Rua das Portas de Santo Antão 100,Arroios,21 342 54 01,geral@socgeografialisboa.pt,www.socgeografialisboa.pt,"Fundada por iniciativa de Luciano Cordeiro em 1875, a Sociedade de Geografia de Lisboa ocupa, desde 8 de Julho de 1897, instalações de rara beleza arquitetónica e decorativa na baixa da cidade. A Biblioteca da SGL é reconhecida nacional e internacionalmente como imprescindível no estudo da História dos Descobrimentos e Expansão Portuguesa, o seu espólio bibliográfico é constituído por 62.000 obras, inúmeras revistas e cerca de 6.000 documentos manuscritos, num total de 230 .000 títulos. A título de exemplo, mencionam-se os diários de viagem de Hermenegildo Capelo, Roberto Ivens, Silva Porto e Gago Coutinho assim como a coleção de desenhos de George Chinnery. Na Mapoteca, encontra-se o espólio cartográfico da SGL onde se encontram riquíssimos exemplares de atlas, mapas e plantas portugueses e estrangeiros de todos os períodos. O Museu Etnográfico possui um notável acervo nas áreas da Etnologia e História, em especial espécies relativas às antigas possessões portuguesas em África e Ásia. O Museu é composto por várias salas: A 'Sala Portugal' com os seus 50m de comprimento, rodeada por duas ordens de galerias é onde se encontra grande parte do espólio museológico. Na 'Sala Algarve' destaca-se o grande planisfério luminoso com as rotas dos Descobrimentos seguidas pelos navegadores portugueses entre 1482 e 1660, e que foi feito para figurar na Exposição Internacional de Paris de 1931.Na 'Sala da Índia' podem ser vistas bandeiras de algumas expedições a África, dois enormes Globos de Coronelli e ainda portulanos, manuscritos e gravuras. O acervo da 'Sala dos Padrões' é constituído por peças ligadas aos Descobrimentos Portugueses, com relevo para os padrões de Pedra colocados pelos portugueses na costa africana.
",www.socgeografialisboa.pt,1,f3f1955d-5b2d-4b91-9e07-f3ee4467c524,POINT (-9.14068818683074 38.7165384624449)
64,66,233,Biblioteca Casa Fernando Pessoa (encerrada até dezembro 2019),"Rua Coelho da Rocha, 16 R/C",Campo de Ourique,+351 213 913 270,biblioteca@casafernandopessoa.pt,http://casafernandopessoa.cm-lisboa.pt/,"""A biblioteca da Casa Fernando Pessoa é a única biblioteca pública especializada em poesia em Portugal. Procura promover a divulgação da obra de Fernando Pessoa estimulando o gosto pela Poesia, assegurando o tratamento e conservação do espólio do poeta, apoiando as edições e publicações que divulguem a sua obra e a poesia e, finalmente, dar a conhecer a obra de Fernando Pessoa a nível internacional. É composta por três núcleos : A biblioteca pessoal de Fernando Pessoa, a biblioteca pessoana activa e passiva e um núcleo de Poesia portuguesa e estrangeira. A biblioteca pessoana activa e passiva contêm, para além da obra do Poeta, tudo o que sobre ele e a sua obra tem sido escrito e tem sido possível adquirir.
A biblioteca de Poesia incluí uma amostra representativa da Poesia do séc. XX, portuguesa e estrangeira, em versões portuguesa e traduções. Fundos Documentais: bibliografia portuguesa e estrangeira, cujo o espólio inclui, monografias, publicações em série correntes, documentos sonoros, documentos visuais e audiovisuais, música, não esquecendo a Biblioteca pessoal do poeta com cerca de 1200 exemplares (acesso reservado). 
A biblioteca pessoal de Fernando Pessoa - parte do espólio do poeta adquirido pela Câmara Municipal de Lisboa à família deste - inclui cerca de 1200 exemplares anotados à mão pelo poeta sobre temas da sua predilecção como poesia, hermetismo, matemática, religião, filosofia, etc. ""
",-,1,fa2448e0-d38d-4195-b8a0-cb5a91e718ea,POINT (-9.16244553690677 38.7166406977766)
65,67,234,Biblioteca | Espaço Cultural Cinema Europa,"Rua Francisco Metrass, 28 D",Campo de Ourique,+351 218 009 927,biblioteca@jf-campodeourique.pt,http://catalogolx.cm-lisboa.pt | ,"Coleção e Serviços:	

Empréstimo domiciliário
Jornais e revistas 
Reserva de documentos
Empréstimo Intra-Blx
Serviço de referência (presencial, telefone, email)
Catálogo on-line
PC's com internet gratuito
Espaço infantil
Salas equipadas para leitura e estudo
Agenda de eventos 

Facebook:  https://www.facebook.com/Biblioteca-Espa%C3%A7o-Cultural-Cinema-Europa-214613395705151/",CML - Rede BLx,1,26db65b4-4073-4695-b631-958a78605876,POINT (-9.16624513442539 38.7171870436828)
66,68,235,Biblioteca Imprensa Nacional,Rua da Escola Politécnica 135 R/C,Santo António,+351 213 945 700,cdi-mail@incm.pt,https://www.incm.pt,"Biblioteca que tem à diposição dos seus leitores os Diários da República. Arquivo histórico sob marcação prévia. 
",-,1,9bfc1def-f906-43ed-899f-f0c15fa9db6f,POINT (-9.15182753919634 38.7178597572223)
67,69,236,Arquivo Municipal Fotográfico,Rua da Palma 246 R/C,Santa Maria Maior,21 884 40 60,arquivomunicipal@cm-lisboa.pt,http://arquivomunicipal.cm-lisboa.pt,"Foi criado em 1942, fundamentado na necessidade de centralizar e conservar a produção fotográfica dispersa pelos vários serviços camarários. 
Em 1994, o Arquivo Municipal Fotográfico abre as portas na rua da Palma com uma sala de leitura e duas salas de exposições.
Detentor de um espólio com um valor patrimonial único para a história da cidade e da fotografia, que recua a 1850 até à atualidade, afirma-se como uma instituição dedicada à preservação de coleções de fotografias e divulgação da memória fotográfica.
O acervo do Arquivo conta com uma notável coleção de fotografias (cerca de 600 mil). Das várias coleções, destacam-se o Fundo Antigo, a de Joshua Benoliel, Eduardo Portugal, assim como outras contemporâneas, de fotógrafos como António Júlio Duarte, Daniel Blaufuks, José Luís Neto, Luís Pavão e Paulo Catrica, entre outros. 
",http://arquivomunicipal.cm-lisboa.pt,1,03bf3998-5c3b-4394-9fec-b01a076aef9d,POINT (-9.13556291973755 38.7182076850518)
68,70,237,Centro de Documentação e Informação - DGIDC,Travessa das Terras de Sant'Ana 15 R/C,Campo de Ourique,+351 213 895 117/ +351 213 895 118,cdi@dgidc.min-edu.pt,http://sitio.dgidc.min-edu.pt/,"Especializada em educação.
",http://sitio.dgidc.min-edu.pt/,1,ff25b18d-9670-4d2a-8353-8afd588859cf,POINT (-9.15760743012135 38.7181975104737)
69,71,238,Arquivo Histórico e Biblioteca do Museu de Ciência da Universidade de Lisboa,Rua da Escola Politécnica 58 (Laboratórios) R/C,Santo António,21 392 18 37,biblioteca-mcul@museus.ul.pt / arquivo-mcul@museus.ul.pt,www.mc.ul.pt,"O espólio da Biblioteca teve a sua origem nos fundos bibliográficos antigos quer da Biblioteca central da Faculdade de Ciências da Universidade de Lisboa, quer das bibliotecas departamentais de ciências exactas da mesma faculdade, e dispõe actualmente de cerca de 23 600 monografias e assina 36 periódicos relacionados com a sua vocação de base (História, Divulgação e Museologia das Ciências e das Técnicas). Dispões também de uma videoteca inclui presentemente mais de 218 videogramas sobre diversas temáticas científicas e museológicas. Os videogramas podem ser visionados na Sala Multimédia do Museu de Ciência, mediante pedido a um dos monitores. O catálogo poderá brevemente ser consultado on-line. Um bom videograma de divulgação científica pode igualmente ser um extraordinário e enriquecedor recurso de complemento a uma visita de estudo à exposição de longa duração. Para tal, terá apenas de consultar o catálogo e efectuar a respectiva marcação. A fototeca do museu dispõe de 1800 documentos fotográficos, sob a forma de diapositivos, negativos ou provas em papel, destinadas a satisfazer as necessidades iconográficas do Museu.  Para fins muito específicos, a Fototeca pode ser consultada por especialistas. 
",www.mc.ul.pt,1,d41c6d8f-7be7-40ea-b7d3-5c3b140757f7,POINT (-9.151263001758 38.718315752524)
70,72,239,Biblioteca do Instituto Geofísico Infante Dom Luiz,Rua da Escola Politécnica 58 (Laboratórios) R/C,Santo António,21 392 18 63,presidente.igidl@fc.ul.pt,www.idl.ul.pt,"Biblioteca especializada em Ciências Geofísicas.
",www.idl.ul.pt,1,c88d2c11-42f4-4771-9e17-feec88c51b9b,POINT (-9.15126325735565 38.7183337660491)
71,73,240,Centro de Documentação da Ilga Portugal,Rua de São Lázaro 88 R/C,Santa Maria Maior,21 887 39 18,21 887 39 18,www.ilga-portugal.pt,,www.ilga-portugal.pt,1,e2f46356-db08-4bca-9219-5d0a987f47ae,POINT (-9.13646482169968 38.7185692579571)
72,74,241,Biblioteca do British Council,Rua de São Bento 640 R/C,Santo António,21 321 45 00/21 321 45 63,lisbon.enquiries@pt.britishcouncil.org,www.britishcouncil.org/pt/portugal.htm,"Biblioteca especializada em temas relacionados com a cultura inglesa e com o ensino da língua inglesa.
",www.britishcouncil.org/pt/portugal.htm,1,f25331d7-9056-4d97-890b-4c304629530b,POINT (-9.1554687616717 38.718413447957)
73,75,242,Biblioteca da APEC (Associação Promotora do Ensino dos Cegos),Rua Francisco Metrass 95 R/C,Campo de Ourique,21 388 78 33,geral@apec.org.pt,www.apec.org.pt,,www.apec.org.pt/,1,75816bfe-8d8d-42e4-bfe2-cdc4008efe0d,POINT (-9.16668519585851 38.718854252906)
74,76,243,Centro Cultural Infantil Adolfo Simão Muller,Estrada do Alvito CC I Adolfo Simões Muller ,Alcântara,21 364 80 70,,,"Biblioteca, ateliers de pintura, desenho e cerâmica. Cursos de cerâmica para as escolas, por marcação.
",TURISMO,1,d167906c-067a-4ee1-93df-4e13e5e7ef9a,POINT (-9.18732133480944 38.7190368637673)
75,77,244,CRNSA - Centro de Reabilitação Nossa Senhora dos Anjos,"Travessa do Recolhimento Lázaro Leitão, 19",São Vicente,+351 218 105 080,secretaria.crnsa@scml.pt,,,-,1,37f6879d-82c3-4e2c-a039-3b27ab959c9f,POINT (-9.11865921116034 38.7199170452094)
76,78,245,Biblioteca da Faculdade de Ciências Médicas da Universidade Nova de Lisboa,Campo dos Mártires da Pátria 130 (Faculdade) R/C,Arroios,21 880 30 55 ,secretar.bib@fcm.unl.pt,www.fcm.unl.pt,,www.fcm.unl.pt,1,bf8b65c8-1774-4119-98ba-5f5488fa68fe,POINT (-9.13972454383696 38.7198612057401)
77,79,246,Biblioteca do Instituto Bacteriológico Câmara Pestana,Campo dos Mártires da Pátria 130 (Faculdade) R/C,Arroios,21 882 32 90 ,bibliote@ibcp.ul.pt ,www.ul.pt,,www.ul.pt,1,14a81c48-7583-4700-b339-5a8364889026,POINT (-9.13971342605142 38.7198883242062)
78,80,247,Biblioteca da Associação Protecção aos Diabéticos de Portugal,Rua do Salitre 118 R/C,Santo António,21 381 61 00,,,"A biblioteca, embora contenha essencialmente livros, revistas e separatas referentes a assuntos de endocrinologia, diabetologia e Nutrição/Alimentação, tem recolhido enorme acervo de livros de Ciências e Artes, Literatura, História e Geografia. A Biblioteca do Instituto de Hidrologia funciona nas instalações da Associação desde há anos.
",-,1,10640e2d-bf2a-4aa9-8ff4-f860535a64b2,POINT (-9.1508333987576 38.7199131869703)
79,81,248,Hemeroteca do Instituto Italiano Cultura em Portugal,Rua do Salitre 146 R/C,Santo António,21 388 41 72/21 388 24 58 ,,www.iiclisbona.esteri.it/IIC_Lisbona,,www.iiclisbona.esteri.it/IIC_Lisbona,1,fb9f88b8-f9f4-419f-a646-bd200dc9c086,POINT (-9.15253555994636 38.7199433817592)
80,82,249,Centro Documentação da União Europeia,Largo Jean Monnet 1 10º,Santo António,21 350 49 00,,,,-,1,a51984ac-21d8-4e79-bdd2-dd5319556309,POINT (-9.14687038800054 38.7202466605082)
81,83,250,Biblioteca São Lázaro,Rua do Saco 1; ,Arroios,+351 218 852 672,bib.slazaro@jf-arroios.pt,http://blx.cm-lisboa.pt,"A Biblioteca pública mais antiga de Lisboa criada em 1883, mais tarde designada por Biblioteca Municipal de São Lázaro. Espaço centenário, foi renovado e abriu as suas portas em Novembro de 1993. Espaços arejados articulam a palavra escrita, a palavra falada e a imagem. O utilizador tem ao seu dispor, para lá dos livros (cerca de 15.000 vol.), novos suportes documentais que vão do jornal ao CD e ao vídeo. A Biblioteca de São Lázaro tem assim as suas portas abertas a públicos de diferentes faixas etárias, de diferentes graus de ensino, com interesses distintos.
",CML - Rede BLx,1,61a077ac-5a23-415b-a614-13c7a2c300d1,POINT (-9.13810453342737 38.7203550308114)
82,84,251,Biblioteca e Arquivo Fotográfico da Cinemateca Portuguesa - Museu do Cinema,"Rua Barata Salgueiro, 39 R/C",Santo António,+351 213 596 212,,www.cinemateca.pt,"A Biblioteca encontra-se aberta ao público em geral. A consulta das espécies bibliográficas existentes está limitada à leitura de presença nas instalações da Cinemateca Portuguesa - Museu do Cinema. Os leitores dispõem de uma sala de consulta onde se faz a pesquisa bibliográfica nos computadores e a requisição das obras e de uma sala de leitura, com um total de 22 lugares. Cinema. Compõem o seu espólio, centenas de guiões, programas, recortes de imprensa, press-releases, postais, cuja temática se espraia pelo circo, televisão, teatro e banda desenhada. As espécies fotográficas podem igualmente ser consultadas nas instalações da Biblioteca, na sala de leitura reservada, onde funciona também um posto de consulta multimédia. Havendo interesse por parte do utente em obter reproduções, a Cinemateca Portuguesa - Museu do Cinema procederá às mesmas, segundo as regras de utilização em vigor. 
",www.cinemateca.pt,1,96f93524-859c-4c8a-bf45-8cd68d370933,POINT (-9.14874302327017 38.7208862083019)
